"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-02","7.61",",,W","0.03",",,W,2400","57","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-03","11.86",",,W","0.01",",,W,2400","50","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-04","9.17",",,W","0.00",",,W,2400","39","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-05","5.59",",,W","0.08",",,W,2400","43","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-06","5.37",",,W","0.00","T,,W,2400","54","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-07","8.28",",,W","0.63",",,W,2400","61","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-08","7.16",",,W","0.06",",,W,2400","59","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-09","17.90",",,W","0.07",",,W,2400","51","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-10","7.16",",,W","0.00",",,W,2400","44","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-11","8.72",",,W","0.00","T,,W,2400","56","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-12","11.63",",,W","0.01",",,W,2400","67","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-13","10.07",",,W","0.00",",,W,2400","57","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-14","3.36",",,W","0.00",",,W,2400","54","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-15","13.20",",,W","0.42",",,W,2400","56","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-16","10.74",",,W","0.00",",,W,2400","47","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-17","7.61",",,W","0.00",",,W,2400","53","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-18","3.13",",,W","0.06",",,W,2400","55","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-19","8.28",",,W","0.00",",,W,2400","59","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-20","5.59",",,W","0.00",",,W,2400","60","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-21","8.05",",,W","0.22",",,W,2400","62","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-22","10.74",",,W","0.22",",,W,2400","63","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-23","6.93",",,W","0.00",",,W,2400","63","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-24","6.26",",,W","0.00",",,W,2400","66","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-25","14.76",",,W","0.00","T,,W,2400","64","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-26","6.26",",,W","0.00",",,W,2400","48","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-27","7.83",",,W","0.06",",,W,2400","51","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-02-28","6.71",",,W","0.00",",,W,2400","57","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-03-01","12.97",",,W","0.16",",,W,2400","68","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-03-02","15.21",",,W","0.00",",,W,2400","54","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-03-03","10.74",",,W","0.00",",,W,2400","48","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-03-04","3.58",",,W","0.00",",,W,2400","48","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-03-05","5.59",",,W","0.00",",,W,2400","54","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-03-06","11.18",",,W","0.00","T,,W,2400","62","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-03-07","11.41",",,W","0.52",",,W,2400","62","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-03-08","10.96",",,W","0.02",",,W,2400","60","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-03-09","5.82",",,W","0.00",",,W,2400","59","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-03-10","13.65",",,W","0.37",",,W,2400","63","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-03-11","7.61",",,W","0.19",",,W,2400","50","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-03-12","9.40",",,W","0.19",",,W,2400","41","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-03-13","11.18",",,W","0.19",",,W,2400","39","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-03-14","15.21",",,W","0.03",",,W,2400","41","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-03-15","13.65",",,W","0.00","T,,W,2400","34","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-03-16","8.05",",,W","0.00",",,W,2400","38","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-03-17","5.59",",,W","0.00",",,W,2400","49","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-03-18","12.97",",,W","0.20",",,W,2400","62","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-03-19","12.30",",,W","0.00",",,W,2400","55","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-03-20","6.26",",,W","0.00",",,W,2400","57","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-03-21","10.74",",,W","0.00","T,,W,2400","71","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-03-22","12.30",",,W","0.00","T,,W,2400","63","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-03-23","12.97",",,W","0.00",",,W,2400","57","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-03-24","9.17",",,W","0.00",",,W,2400","62","H,,S"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","33.62972","-84.44224","308.2","2017-03-25","9.62",",,W","0.07",",,W,2400","66","H,,S"
